 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,02_Frg_1_d_ROI.tif:2362-3997:1,1560,40.120,17,80,3971,2347,52,30,58.676,33.851,0,0.729,1.733,0.577,1.000
2,02_Frg_1_d_ROI.tif:2397-3936:1,4545,44.902,18,82,3914,2347,45,101,113.966,50.777,90,0.670,2.244,0.446,1.000
3,02_Frg_1_d_ROI.tif:2370-3863:1,13475,54.681,15,91,3825,2283,77,175,197.466,86.885,90,0.667,2.273,0.440,1.000
4,02_Frg_1_d_ROI.tif:2358-3777:1,15252,46.307,13,82,3731,2276,93,164,185.054,104.939,90,0.725,1.763,0.567,1.000
5,02_Frg_1_d_ROI.tif:2346-3633:1,49728,48.185,13,90,3548,2218,192,259,292.250,216.649,90,0.768,1.349,0.741,1.000
6,02_Frg_1_d_ROI.tif:2312-3389:1,13038,32.227,11,70,3336,2251,106,123,138.791,119.608,90,0.781,1.160,0.862,1.000
7,02_Frg_1_d_ROI.tif:2679-4181:1,189,40.164,25,75,4171,2675,21,9,23.696,10.155,0,0.660,2.333,0.429,1.000
8,02_Frg_1_d_ROI.tif:2701-4166:1,374,38.056,18,75,4155,2693,22,17,24.824,19.182,0,0.772,1.294,0.773,1.000
9,02_Frg_1_d_ROI.tif:2779-4199:1,3555,36.551,12,84,4177,2740,45,79,89.142,50.777,90,0.726,1.756,0.570,1.000
10,02_Frg_1_d_ROI.tif:2726-4057:1,25092,44.834,11,86,3981,2644,153,164,185.054,172.642,90,0.784,1.072,0.933,1.000
11,02_Frg_1_d_ROI.tif:2700-3814:1,16422,43.219,12,82,3755,2631,119,138,155.716,134.277,90,0.781,1.160,0.862,1.000
12,02_Frg_1_d_ROI.tif:2689-3725:1,9030,38.783,12,81,3690,2625,70,129,145.561,78.987,90,0.716,1.843,0.543,1.000
13,02_Frg_1_d_ROI.tif:2695-3606:1,26578,54.467,12,99,3538,2598,137,194,218.906,154.588,90,0.762,1.416,0.706,1.000
14,02_Frg_1_d_ROI.tif:2658-3395:1,12927,36.807,12,94,3349,2589,93,139,156.845,104.939,90,0.755,1.495,0.669,1.000
15,02_Frg_1_d_ROI.tif:2577-3380:1,2528,26.757,14,54,3341,2561,79,32,89.142,36.108,0,0.645,2.469,0.405,1.000
16,02_Frg_1_d_ROI.tif:2624-3332:1,1064,23.870,11,50,3318,2605,28,38,42.878,31.595,90,0.767,1.357,0.737,1.000
17,02_Frg_1_d_ROI.tif:2626-3282:1,11325,37.696,10,82,3245,2551,75,151,170.385,84.628,90,0.697,2.013,0.497,1.000
18,02_Frg_1_d_ROI.tif:2853-4153:1,2773,43.087,13,87,4130,2824,47,59,66.574,53.034,90,0.775,1.255,0.797,1.000
19,02_Frg_1_d_ROI.tif:2962-3526:1,11648,35.508,11,82,3462,2917,128,91,144.433,102.683,0,0.763,1.407,0.711,1.000
20,02_Frg_1_d_ROI.tif:2932-3431:1,1872,30.154,12,67,3405,2914,52,36,58.676,40.622,0,0.759,1.444,0.692,1.000
21,02_Frg_1_d_ROI.tif:2326-3495:1,12508,52.739,31,72,3442,2267,106,118,133.149,119.608,90,0.783,1.113,0.898,1.000
22,02_Frg_1_d_ROI.tif:2713-3927:1,9523,75.651,51,92,3874,2669,107,89,120.737,100.426,0,0.779,1.202,0.832,1.000
23,02_Frg_1_d_ROI.tif:2679-3490:1,9408,77.208,43,99,3442,2630,96,98,110.581,108.324,90,0.785,1.021,0.980,1.000
24,02_Frg_1_d_ROI.tif:2573-3187:1,4680,35.475,14,64,3155,2537,65,72,81.243,73.345,90,0.783,1.108,0.903,1.000
