 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,02_Frg_1_e_ROI.tif:2438-4139-1:1,425,31.099,8,61,4127,2430,25,17,28.209,19.182,0,0.757,1.471,0.680,1.000
2,02_Frg_1_e_ROI.tif:2380-3933-2:1,1430,23.490,12,46,3920,2353,26,55,62.061,29.338,90,0.685,2.115,0.473,1.000
3,02_Frg_1_e_ROI.tif:2357-3862-3:1,2950,28.499,9,61,3837,2328,50,59,66.574,56.419,90,0.780,1.180,0.847,1.000
4,02_Frg_1_e_ROI.tif:2354-3779-4:1,5146,25.022,8,57,3748,2313,62,83,93.655,69.960,90,0.769,1.339,0.747,1.000
5,02_Frg_1_e_ROI.tif:2319-3562-5:1,1624,14.432,6,38,3548,2291,29,56,63.189,32.723,90,0.706,1.931,0.518,1.000
6,02_Frg_1_e_ROI.tif:2283-3499-6:1,8284,20.789,4,46,3461,2229,76,109,122.993,85.757,90,0.760,1.434,0.697,1.000
7,02_Frg_1_e_ROI.tif:2269-3431-7:1,4180,15.961,6,39,3404,2231,55,76,85.757,62.061,90,0.765,1.382,0.724,1.000
8,02_Frg_1_e_ROI.tif:2276-3338-8:1,4959,27.446,8,79,3310,2233,57,87,98.169,64.318,90,0.751,1.526,0.655,1.000
9,02_Frg_1_e_ROI.tif:2304-3207-9:1,14934,20.728,5,55,3150,2239,114,131,147.818,128.635,90,0.782,1.149,0.870,1.000
10,02_Frg_1_e_ROI.tif:3094-10-10:1,468,22.662,7,46,3081,2192,26,18,29.338,20.311,0,0.759,1.444,0.692,1.000
11,02_Frg_1_e_ROI.tif:4128-11-11:1,13335,26.431,4,82,4065,2589,127,105,143.304,118.480,0,0.778,1.210,0.827,1.000
12,02_Frg_1_e_ROI.tif:4023-12-12:1,18626,37.180,6,71,3956,2568,134,139,156.845,151.203,90,0.785,1.037,0.964,1.000
13,02_Frg_1_e_ROI.tif:3839-13-13:1,25920,25.680,7,64,3749,2559,180,144,203.108,162.487,0,0.776,1.250,0.800,1.000
14,02_Frg_1_e_ROI.tif:3602-14-14:1,20449,25.664,11,72,3531,2497,143,143,161.358,161.358,0,0.785,1.000,1.000,1.000
15,02_Frg_1_e_ROI.tif:3463-15-15:1,21679,28.356,11,64,3397,2458,133,163,183.926,150.074,90,0.777,1.226,0.816,1.000
16,02_Frg_1_e_ROI.tif:3246-16-16:1,24016,24.492,10,60,3170,2431,152,158,178.284,171.514,90,0.785,1.039,0.962,1.000
17,02_Frg_1_e_ROI.tif:3154-17-17:1,12800,20.820,7,62,3104,2424,100,128,144.433,112.838,90,0.774,1.280,0.781,1.000
18,02_Frg_1_e_ROI.tif:3808-18-18:1,12862,20.353,4,57,3749,2733,118,109,133.149,122.993,0,0.784,1.083,0.924,1.000
19,02_Frg_1_e_ROI.tif:3743-19-19:1,13189,18.405,5,58,3689,2820,109,121,136.534,122.993,90,0.783,1.110,0.901,1.000
20,02_Frg_1_e_ROI.tif:3400-20-20:1,4472,15.973,6,36,3357,2776,86,52,97.041,58.676,0,0.738,1.654,0.605,1.000
21,02_Frg_1_e_ROI.tif:3285-21-21:1,31460,25.371,6,62,3225,2561,121,260,293.379,136.534,90,0.681,2.149,0.465,1.000
22,02_Frg_1_e_ROI.tif:3097-22-22:1,13375,22.164,9,47,3044,2719,107,125,141.047,120.737,90,0.781,1.168,0.856,1.000
23,02_Frg_1_e_ROI.tif:3029-23-23:1,11352,24.810,4,64,2986,2711,86,132,148.946,97.041,90,0.750,1.535,0.652,1.000
