frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43691.tif:1047-3734,24552,164.555,82,220,3635,985,198,124,223.419,139.919,0,0.744,1.597,0.626,1.000
2,M43691.tif:1332-3678,180456,133.522,26,226,3459,1126,438,412,494.230,464.892,0,0.785,1.063,0.941,1.000
3,M43691.tif:1318-3307,2964,174.196,82,221,3281,1290,52,57,64.318,58.676,90,0.784,1.096,0.912,1.000
4,M43691.tif:1222-3108,136544,170.868,30,229,2972,971,272,502,566.446,306.919,90,0.716,1.846,0.542,1.000
5,M43691.tif:1248-2791,122120,132.978,25,223,2614,1076,355,344,400.575,388.162,0,0.785,1.032,0.969,1.000
6,M43691.tif:1259-2380,119262,144.019,23,226,2241,1045,278,429,484.075,313.689,90,0.750,1.543,0.648,1.000
7,M43691.tif:1282-2062,75240,158.001,32,224,1967,1084,190,396,446.838,214.392,90,0.688,2.084,0.480,1.000
8,M43691.tif:1307-1771,84000,146.597,30,226,1651,1132,240,350,394.933,270.811,90,0.758,1.458,0.686,1.000
9,M43691.tif:1229-1286,202788,168.787,29,229,1093,967,387,524,591.271,436.683,90,0.768,1.354,0.739,1.000
10,M43691.tif:1078-0998,25326,155.457,50,220,931,984,134,189,213.264,151.203,90,0.763,1.410,0.709,1.000
11,M43691.tif:2040-3874,51520,140.755,37,229,3759,1928,230,224,259.527,252.757,0,0.785,1.027,0.974,1.000
12,M43691.tif:1996-3540,16224,187.527,79,227,3488,1918,104,156,176.027,117.351,90,0.754,1.500,0.667,1.000
13,M43691.tif:1978-3198,61992,150.136,37,227,3034,1884,328,189,370.108,213.264,0,0.729,1.735,0.576,1.000
14,M43691.tif:2055-2691,50861,160.463,44,227,2551,1965,281,181,317.075,204.237,0,0.749,1.552,0.644,1.000
15,M43691.tif:2045-2179,62975,128.762,31,225,2065,1908,229,275,310.304,258.399,90,0.779,1.201,0.833,1.000
16,M43691.tif:2097-1884,29280,149.556,49,225,1793,2017,183,160,206.493,180.541,0,0.782,1.144,0.874,1.000
