 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,ROI.tif:1821-3616-1:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1482,55.991,10,112,3597,1802,39,38,44.007,42.878,0,0.785,1.026,0.974,1.000
2,ROI.tif:2046-3756-2:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,10080,56.375,13,117,3716,1983,80,126,142.176,90.270,90,0.746,1.575,0.635,1.000
3,ROI.tif:2026-3632-3:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,29987,69.776,13,123,3554,1931,157,191,215.520,177.156,90,0.778,1.217,0.822,1.000
4,ROI.tif:2325-3686-4:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,6156,50.695,10,115,3629,2298,114,54,128.635,60.932,0,0.685,2.111,0.474,1.000
5,ROI.tif:2277-3699-5:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,884,79.905,23,113,3682,2264,34,26,38.365,29.338,0,0.771,1.308,0.765,1.000
6,ROI.tif:2304-3582-6:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,22260,56.919,13,120,3512,2225,140,159,179.412,157.973,90,0.782,1.136,0.881,1.000
7,ROI.tif:2285-3477-7:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,20989,63.245,13,124,3402,2216,151,139,170.385,156.845,0,0.784,1.086,0.921,1.000
8,ROI.tif:2549-4089-8:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1428,72.244,16,113,4072,2528,34,42,47.392,38.365,90,0.777,1.235,0.810,1.000
9,ROI.tif:2581-4008-9:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,5445,66.303,14,119,3986,2521,45,121,136.534,50.777,90,0.621,2.689,0.372,1.000
10,ROI.tif:2620-3950-10:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,884,70.636,19,117,3937,2603,26,34,38.365,29.338,90,0.771,1.308,0.765,1.000
11,ROI.tif:2587-3849-11:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1610,71.116,18,125,3832,2564,35,46,51.905,39.493,90,0.771,1.314,0.761,1.000
12,ROI.tif:2553-3818-12:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,204,80.922,32,120,3812,2545,12,17,19.182,13.541,90,0.762,1.417,0.706,1.000
13,ROI.tif:2605-3677-13:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,9040,71.190,14,124,3621,2565,113,80,127.507,90.270,0,0.762,1.412,0.708,1.000
14,ROI.tif:2559-3635-14:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,14763,60.233,9,124,3569,2504,133,111,150.074,125.250,0,0.779,1.198,0.835,1.000
15,ROI.tif:2557-3539-15:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,4784,47.398,12,115,3516,2505,46,104,117.351,51.905,90,0.668,2.261,0.442,1.000
16,ROI.tif:2599-3480-16:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,736,42.542,16,105,3469,2583,23,32,36.108,25.953,90,0.764,1.391,0.719,1.000
17,ROI.tif:2555-3432-17:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,476,71.134,29,115,3424,2541,17,28,31.595,19.182,90,0.738,1.647,0.607,1.000
18,ROI.tif:2592-3390-18:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1860,40.583,16,113,3359,2577,62,30,69.960,33.851,0,0.690,2.067,0.484,1.000
19,ROI.tif:2574-3772-19:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,4266,116.448,84,131,3733,2547,79,54,89.142,60.932,0,0.758,1.463,0.684,1.000
20,ROI.tif:2873-4328-20:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,9085,82.002,15,120,4289,2816,79,115,129.764,89.142,90,0.758,1.456,0.687,1.000
21,ROI.tif:2856-4250-21:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,6314,109.093,52,122,4212,2815,77,82,92.527,86.885,90,0.785,1.065,0.939,1.000
22,ROI.tif:2841-4139-22:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,14746,76.313,14,118,4066,2791,146,101,164.743,113.966,0,0.759,1.446,0.692,1.000
23,ROI.tif:2843-4010-23:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,19865,66.582,14,132,3942,2771,137,145,163.615,154.588,90,0.785,1.058,0.945,1.000
24,ROI.tif:2884-3970-24:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1400,25.471,14,102,3958,2856,25,56,63.189,28.209,90,0.670,2.240,0.446,1.000
25,ROI.tif:2803-3890-25:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,6318,76.381,15,119,3851,2763,78,81,91.399,88.014,90,0.785,1.038,0.963,1.000
26,ROI.tif:2809-3816-26:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,4620,106.815,63,117,3781,2776,70,66,78.987,74.473,0,0.785,1.061,0.943,1.000
27,ROI.tif:2830-3747-27:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,8777,58.994,14,115,3714,2765,67,131,147.818,75.601,90,0.703,1.955,0.511,1.000
28,ROI.tif:2828-3658-28:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,19180,61.659,14,120,3590,2758,137,140,157.973,154.588,90,0.785,1.022,0.979,1.000
29,ROI.tif:2824-3521-29:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,18894,62.605,14,120,3454,2754,134,141,159.101,151.203,90,0.785,1.052,0.950,1.000
30,ROI.tif:2819-3470-30:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,6076,60.279,15,119,3446,2757,49,124,139.919,55.291,90,0.638,2.531,0.395,1.000
31,ROI.tif:2782-3422-31:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,651,55.524,16,105,3407,2772,31,21,34.980,23.696,0,0.756,1.476,0.677,1.000
32,ROI.tif:2792-3368-32:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,800,65.115,29,113,3356,2776,25,32,36.108,28.209,90,0.774,1.280,0.781,1.000
33,ROI.tif:3114-4213-33:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,13248,53.072,8,114,4141,3068,144,92,162.487,103.811,0,0.747,1.565,0.639,1.000
34,ROI.tif:3112-4103-34:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,4725,99.480,48,119,4066,3081,75,63,84.628,71.088,0,0.779,1.190,0.840,1.000
35,ROI.tif:3028-3989-35:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,37791,72.885,13,122,3913,2905,153,247,278.710,172.642,90,0.742,1.614,0.619,1.000
36,ROI.tif:3139-3912-36:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,8000,59.008,14,114,3880,3077,64,125,141.047,72.216,90,0.704,1.953,0.512,1.000
37,ROI.tif:3112-3860-37:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,19817,57.918,14,121,3751,3064,133,149,168.128,150.074,90,0.783,1.120,0.893,1.000
38,ROI.tif:3123-3723-38:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,5445,107.987,70,120,3696,3074,55,99,111.710,62.061,90,0.721,1.800,0.556,1.000
39,ROI.tif:3127-3613-39:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,23074,67.058,13,118,3530,3058,166,139,187.311,156.845,0,0.779,1.194,0.837,1.000
40,ROI.tif:3097-3451-40:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,20002,59.590,13,118,3383,3024,137,146,164.743,154.588,90,0.785,1.066,0.938,1.000
41,ROI.tif:3083-3353-41:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,8249,59.936,14,120,3317,3027,73,113,127.507,82.372,90,0.749,1.548,0.646,1.000
42,ROI.tif:3091-3260-42:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,17516,61.343,14,118,3202,3016,116,151,170.385,130.892,90,0.772,1.302,0.768,1.000
43,ROI.tif:3080-3199-43:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,8580,62.013,15,121,3167,3014,65,132,148.946,73.345,90,0.695,2.031,0.492,1.000
44,ROI.tif:3061-3083-44:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,24648,59.165,12,121,3004,2983,158,156,178.284,176.027,0,0.785,1.013,0.987,1.000
45,ROI.tif:3057-2966-45:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,18696,50.228,7,117,2905,2981,123,152,171.514,138.791,90,0.777,1.236,0.809,1.000
46,ROI.tif:3370-4296-46:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,2964,58.258,8,114,4268,3344,57,52,64.318,58.676,0,0.784,1.096,0.912,1.000
47,ROI.tif:3383-4215-47:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,11571,60.071,14,117,4172,3317,87,133,150.074,98.169,90,0.751,1.529,0.654,1.000
48,ROI.tif:3481-4225-48:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,5084,40.863,13,106,4194,3440,62,82,92.527,69.960,90,0.770,1.323,0.756,1.000
49,ROI.tif:3370-4114-49:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,7600,80.578,15,121,4067,3330,95,80,107.196,90.270,0,0.780,1.188,0.842,1.000
50,ROI.tif:3446-4055-50:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1175,64.124,19,107,4043,3423,25,47,53.034,28.209,90,0.712,1.880,0.532,1.000
51,ROI.tif:3390-4020-51:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,7280,58.303,14,120,3992,3325,56,130,146.689,63.189,90,0.661,2.321,0.431,1.000
52,ROI.tif:3383-3952-52:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,6510,54.567,13,119,3921,3331,62,105,118.480,69.960,90,0.733,1.694,0.590,1.000
53,ROI.tif:3382-3833-53:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,21000,63.722,14,118,3763,3307,140,150,169.257,157.973,90,0.784,1.071,0.933,1.000
54,ROI.tif:3394-3719-54:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,22008,60.968,14,120,3654,3310,131,168,189.568,147.818,90,0.773,1.282,0.780,1.000
55,ROI.tif:3376-3602-55:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,25256,71.216,15,121,3520,3299,164,154,185.054,173.770,0,0.785,1.065,0.939,1.000
56,ROI.tif:3402-3471-56:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,252,65.742,26,108,3464,3393,14,18,20.311,15.797,90,0.773,1.286,0.778,1.000
57,ROI.tif:3668-4598-57:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,8848,65.578,15,119,4542,3629,112,79,126.378,89.142,0,0.762,1.418,0.705,1.000
58,ROI.tif:3689-4440-58:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,16698,61.455,14,114,4380,3620,121,138,155.716,136.534,90,0.782,1.140,0.877,1.000
59,ROI.tif:3637-4368-59:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1932,54.668,15,112,4345,3616,46,42,51.905,47.392,0,0.784,1.095,0.913,1.000
60,ROI.tif:3710-4386-60:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,1012,42.368,19,93,4375,3687,22,46,51.905,24.824,90,0.688,2.091,0.478,1.000
61,ROI.tif:3633-4273-61:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,4900,51.591,13,114,4223,3609,100,49,112.838,55.291,0,0.693,2.041,0.490,1.000
62,ROI.tif:3676-4254-62:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,120,63.942,27,109,4248,3671,12,10,13.541,11.284,0,0.779,1.200,0.833,1.000
63,ROI.tif:3677-4180-63:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,6880,111.580,64,128,4137,3637,86,80,97.041,90.270,0,0.784,1.075,0.930,1.000
64,ROI.tif:3664-4072-64:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,15600,62.366,15,120,4007,3604,130,120,146.689,135.406,0,0.784,1.083,0.923,1.000
65,ROI.tif:3659-3953-65:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,22032,61.649,13,123,3872,3591,162,136,182.797,153.460,0,0.779,1.191,0.840,1.000
66,ROI.tif:3657-3803-66:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,17400,73.299,13,122,3745,3582,116,150,169.257,130.892,90,0.773,1.293,0.773,1.000
67,ROI.tif:3670-3665-67:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,13280,107.738,52,123,3585,3629,160,83,180.541,93.655,0,0.707,1.928,0.519,1.000
68,ROI.tif:3670-3553-68:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,7488,52.342,13,114,3521,3612,64,117,132.020,72.216,90,0.718,1.828,0.547,1.000
69,ROI.tif:3653-3444-69:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,18612,49.658,12,116,3374,3587,141,132,159.101,148.946,0,0.785,1.068,0.936,1.000
70,ROI.tif:3553-3484-70:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,418,62.799,21,107,3475,3542,19,22,24.824,21.439,90,0.781,1.158,0.864,1.000
71,ROI.tif:3589-3522-71:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,192,71.922,27,102,3516,3581,12,16,18.054,13.541,90,0.769,1.333,0.750,1.000
72,ROI.tif:3646-3356-72:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,13140,55.428,7,116,3311,3573,90,146,164.743,101.554,90,0.741,1.622,0.616,1.000
73,ROI.tif:2938-3748:P106-Fg006-R-C01-R01-D23062013-T100626-LR924 _012,4885664,63.983,5,157,2796,1655,1904,2566,2895.421,2148.434,90,0.768,1.348,0.742,1.000
