 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,P106-Fg009_R.tif:2409-4010:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,3600,118.782,58,190,3973,2385,75,48,84.628,54.162,0,0.748,1.562,0.640,1.000
2,P106-Fg009_R.tif:2472-4013:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,2600,105.565,57,161,3987,2447,52,50,58.676,56.419,0,0.785,1.040,0.962,1.000
3,P106-Fg009_R.tif:2394-3945:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,572,128.201,84,164,3932,2383,26,22,29.338,24.824,0,0.780,1.182,0.846,1.000
4,P106-Fg009_R.tif:2426-3902:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,3190,112.976,55,167,3873,2399,58,55,65.446,62.061,0,0.785,1.055,0.948,1.000
5,P106-Fg009_R.tif:2467-3847:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,2772,132.058,79,164,3826,2434,42,66,74.473,47.392,90,0.747,1.571,0.636,1.000
6,P106-Fg009_R.tif:2497-3791:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,6612,101.331,56,166,3762,2440,58,114,128.635,65.446,90,0.702,1.966,0.509,1.000
7,P106-Fg009_R.tif:2457-3713:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,4640,111.747,58,163,3693,2399,40,116,130.892,45.135,90,0.599,2.900,0.345,1.000
8,P106-Fg009_R.tif:2534-3732:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,210,103.367,68,132,3725,2527,14,15,16.926,15.797,90,0.784,1.071,0.933,1.000
9,P106-Fg009_R.tif:2494-3627:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,25748,91.664,33,168,3549,2412,157,164,185.054,177.156,90,0.785,1.045,0.957,1.000
10,P106-Fg009_R.tif:2782-3751:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,19092,93.930,48,163,3687,2708,129,148,167.000,145.561,90,0.782,1.147,0.872,1.000
11,P106-Fg009_R.tif:2783-3635:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,20022,87.772,45,149,3564,2713,142,141,160.230,159.101,0,0.785,1.007,0.993,1.000
