 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,P106-Fg011.tif:1717-3268:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,1980,92.663,33,151,3246,1695,44,45,50.777,49.649,90,0.785,1.023,0.978,1.000
2,P106-Fg011.tif:1727-3178:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,10836,109.771,37,193,3135,1664,86,126,142.176,97.041,90,0.757,1.465,0.683,1.000
3,P106-Fg011.tif:1701-3092:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,16093,106.522,50,182,3032,1635,121,133,150.074,136.534,90,0.784,1.099,0.910,1.000
4,P106-Fg011.tif:1726-3023:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,10947,101.201,50,180,2979,1665,89,123,138.791,100.426,90,0.765,1.382,0.724,1.000
5,P106-Fg011.tif:1734-2943:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,21060,106.199,44,188,2876,1656,135,156,176.027,152.331,90,0.781,1.156,0.865,1.000
6,P106-Fg011.tif:2273-3233:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,21009,87.181,24,142,3163,2199,141,149,168.128,159.101,90,0.785,1.057,0.946,1.000
7,P106-Fg011.tif:2253-3119:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,26312,87.352,2,145,3027,2182,184,143,207.622,161.358,0,0.773,1.287,0.777,1.000
8,P106-Fg011.tif:2256-3031:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,19966,92.846,2,149,2964,2182,134,149,168.128,151.203,90,0.783,1.112,0.899,1.000
9,P106-Fg011.tif:2252-2943:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,12065,98.533,47,168,2896,2189,95,127,143.304,107.196,90,0.769,1.337,0.748,1.000
10,P106-Fg011.tif:2260-2841:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,29520,109.901,43,178,2759,2170,164,180,203.108,185.054,90,0.784,1.098,0.911,1.000
11,P106-Fg011.tif:2552-4136:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3575,104.210,43,181,4109,2520,55,65,73.345,62.061,90,0.780,1.182,0.846,1.000
12,P106-Fg011.tif:2558-4074:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,4088,121.356,51,168,4046,2522,56,73,82.372,63.189,90,0.772,1.304,0.767,1.000
13,P106-Fg011.tif:2513-3658:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,25840,107.079,39,177,3582,2428,152,170,191.824,171.514,90,0.783,1.118,0.894,1.000
14,P106-Fg011.tif:2511-3508:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,12780,98.717,44,143,3463,2440,90,142,160.230,101.554,90,0.746,1.578,0.634,1.000
15,P106-Fg011.tif:2515-3412:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,19966,90.994,34,156,3345,2441,134,149,168.128,151.203,90,0.783,1.112,0.899,1.000
16,P106-Fg011.tif:2466-3296:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,23881,97.657,31,165,3225,2383,143,167,188.439,161.358,90,0.781,1.168,0.856,1.000
17,P106-Fg011.tif:2509-3180:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,11092,94.946,42,148,3133,2450,94,118,133.149,106.068,90,0.775,1.255,0.797,1.000
18,P106-Fg011.tif:2511-3077:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,24048,82.839,38,146,3005,2428,144,167,188.439,162.487,90,0.781,1.160,0.862,1.000
19,P106-Fg011.tif:2500-3000:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,13200,84.382,41,135,2950,2434,100,132,148.946,112.838,90,0.770,1.320,0.758,1.000
20,P106-Fg011.tif:2490-2914:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,9595,92.365,31,198,2867,2440,95,101,113.966,107.196,90,0.785,1.063,0.941,1.000
21,P106-Fg011.tif:2848-4342:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,9504,111.053,41,251,4298,2794,88,108,121.865,99.297,90,0.777,1.227,0.815,1.000
22,P106-Fg011.tif:2831-4273:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,8658,99.140,43,153,4234,2776,78,111,125.250,88.014,90,0.761,1.423,0.703,1.000
23,P106-Fg011.tif:2851-4215:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,4060,110.589,50,166,4186,2816,58,70,78.987,65.446,90,0.778,1.207,0.829,1.000
24,P106-Fg011.tif:2807-4168:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,1271,114.913,61,142,4153,2787,31,41,46.264,34.980,90,0.770,1.323,0.756,1.000
25,P106-Fg011.tif:2878-4183:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,625,128.099,73,149,4171,2866,25,25,28.209,28.209,0,0.785,1.000,1.000,1.000
26,P106-Fg011.tif:2827-4118:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,7344,93.974,30,153,4082,2776,72,102,115.095,81.243,90,0.762,1.417,0.706,1.000
27,P106-Fg011.tif:2846-4060:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3479,84.373,34,131,4036,2811,49,71,80.115,55.291,90,0.759,1.449,0.690,1.000
28,P106-Fg011.tif:2822-3842:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,6360,98.443,52,156,3816,2762,53,120,135.406,59.804,90,0.668,2.264,0.442,1.000
29,P106-Fg011.tif:2844-3777:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,2392,99.144,51,158,3754,2818,46,52,58.676,51.905,90,0.782,1.130,0.885,1.000
30,P106-Fg011.tif:2788-3722:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,2700,111.171,54,155,3700,2758,45,60,67.703,50.777,90,0.769,1.333,0.750,1.000
31,P106-Fg011.tif:2861-3734:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,2208,104.606,56,145,3710,2838,48,46,54.162,51.905,0,0.785,1.043,0.958,1.000
32,P106-Fg011.tif:2814-3636:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,20511,96.189,48,159,3572,2735,129,159,179.412,145.561,90,0.777,1.233,0.811,1.000
33,P106-Fg011.tif:2831-3506:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,17365,98.294,48,157,3449,2756,115,151,170.385,129.764,90,0.771,1.313,0.762,1.000
34,P106-Fg011.tif:2791-3368:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,7332,102.922,48,161,3329,2744,78,94,106.068,88.014,90,0.779,1.205,0.830,1.000
35,P106-Fg011.tif:2798-3290:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,8925,88.771,50,144,3248,2746,85,105,118.480,95.912,90,0.777,1.235,0.810,1.000
36,P106-Fg011.tif:2795-3220:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,9797,86.979,23,140,3172,2745,97,101,113.966,109.453,90,0.785,1.041,0.960,1.000
37,P106-Fg011.tif:2811-3077:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,19564,78.053,45,131,3010,2738,134,146,164.743,151.203,90,0.784,1.090,0.918,1.000
38,P106-Fg011.tif:2819-3009:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,12232,83.341,31,148,2965,2750,88,139,156.845,99.297,90,0.746,1.580,0.633,1.000
39,P106-Fg011.tif:2796-2941:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,9483,92.430,32,187,2898,2742,87,109,122.993,98.169,90,0.776,1.253,0.798,1.000
40,P106-Fg011.tif:3014-4334:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,4320,105.192,38,178,4289,2990,90,48,101.554,54.162,0,0.713,1.875,0.533,1.000
41,P106-Fg011.tif:3103-4305:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,18513,98.054,34,165,4229,3043,153,121,172.642,136.534,0,0.775,1.264,0.791,1.000
42,P106-Fg011.tif:3092-4126:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,5130,107.838,49,155,4099,3045,54,95,107.196,60.932,90,0.726,1.759,0.568,1.000
43,P106-Fg011.tif:3057-4089:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,1188,118.056,60,152,4073,3039,33,36,40.622,37.237,90,0.784,1.091,0.917,1.000
44,P106-Fg011.tif:3091-4021:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,17160,99.010,31,198,3955,3026,132,130,148.946,146.689,0,0.785,1.015,0.985,1.000
45,P106-Fg011.tif:3052-3925:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,2704,93.249,32,145,3899,3026,52,52,58.676,58.676,0,0.785,1.000,1.000,1.000
46,P106-Fg011.tif:3047-3875:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,891,99.907,43,139,3859,3034,33,27,37.237,30.466,0,0.778,1.222,0.818,1.000
47,P106-Fg011.tif:3088-3727:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,10058,84.430,0,166,3680,3035,94,107,120.737,106.068,90,0.782,1.138,0.879,1.000
48,P106-Fg011.tif:3067-3657:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3536,90.611,50,167,3631,3033,52,68,76.730,58.676,90,0.771,1.308,0.765,1.000
49,P106-Fg011.tif:3080-3382:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,15080,98.711,7,174,3324,3015,116,130,146.689,130.892,90,0.783,1.121,0.892,1.000
50,P106-Fg011.tif:3061-3210:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,6138,86.983,35,163,3161,3030,99,62,111.710,69.960,0,0.744,1.597,0.626,1.000
51,P106-Fg011.tif:3043-3130:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3100,96.315,49,164,3099,3018,62,50,69.960,56.419,0,0.776,1.240,0.806,1.000
52,P106-Fg011.tif:3047-3078:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,5440,88.202,43,151,3038,3013,80,68,90.270,76.730,0,0.780,1.176,0.850,1.000
53,P106-Fg011.tif:3325-4324:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,2842,86.370,36,155,4300,3296,49,58,65.446,55.291,90,0.780,1.184,0.845,1.000
54,P106-Fg011.tif:3338-4205:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,18632,91.499,40,166,4137,3270,137,136,154.588,153.460,0,0.785,1.007,0.993,1.000
55,P106-Fg011.tif:3338-4095:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,11970,86.287,35,173,4048,3275,95,126,142.176,107.196,90,0.770,1.326,0.754,1.000
56,P106-Fg011.tif:3343-3794:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,7006,81.552,35,153,3763,3287,62,113,127.507,69.960,90,0.719,1.823,0.549,1.000
57,P106-Fg011.tif:3390-3671:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,10764,119.831,52,174,3632,3321,78,138,155.716,88.014,90,0.725,1.769,0.565,1.000
58,P106-Fg011.tif:3390-3583:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,10767,123.788,35,194,3535,3335,97,111,125.250,109.453,90,0.782,1.144,0.874,1.000
59,P106-Fg011.tif:3477-3419:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3905,92.669,37,154,3392,3442,55,71,80.115,62.061,90,0.773,1.291,0.775,1.000
60,P106-Fg011.tif:3609-3716:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3381,134.540,61,169,3682,3585,69,49,77.858,55.291,0,0.763,1.408,0.710,1.000
61,P106-Fg011.tif:3667-3722:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,1292,140.207,68,173,3705,3648,34,38,42.878,38.365,90,0.783,1.118,0.895,1.000
62,P106-Fg011.tif:3673-3664:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,5185,119.117,55,175,3634,3631,61,85,95.912,68.831,90,0.764,1.393,0.718,1.000
63,P106-Fg011.tif:3635-3571:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,15340,105.162,35,168,3506,3576,130,118,146.689,133.149,0,0.784,1.102,0.908,1.000
64,P106-Fg011.tif:3659-3439:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,28028,109.795,49,176,3348,3582,182,154,205.365,173.770,0,0.780,1.182,0.846,1.000
65,P106-Fg011.tif:3665-3265:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,16524,124.974,31,172,3211,3589,108,153,172.642,121.865,90,0.762,1.417,0.706,1.000
66,P106-Fg011.tif:3879-3765:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3480,128.002,41,246,3736,3849,58,60,67.703,65.446,90,0.785,1.034,0.967,1.000
67,P106-Fg011.tif:3907-3605:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,6156,139.173,63,182,3567,3867,76,81,91.399,85.757,90,0.785,1.066,0.938,1.000
68,P106-Fg011.tif:3915-3458:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,16302,112.593,49,178,3401,3844,114,143,161.358,128.635,90,0.775,1.254,0.797,1.000
69,P106-Fg011.tif:3901-3335:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,24424,104.266,47,162,3249,3830,172,142,194.081,160.230,0,0.778,1.211,0.826,1.000
70,P106-Fg011.tif:3921-3208:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,10414,104.398,36,188,3167,3858,82,127,143.304,92.527,90,0.749,1.549,0.646,1.000
71,P106-Fg011.tif:4058-3753:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,3600,103.696,39,166,3728,4022,50,72,81.243,56.419,90,0.760,1.440,0.694,1.000
72,P106-Fg011.tif:4088-3687:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,9976,124.652,43,186,3644,4030,86,116,130.892,97.041,90,0.768,1.349,0.741,1.000
73,P106-Fg011.tif:4103-3572:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,27342,114.966,46,211,3499,4010,147,186,209.879,165.872,90,0.775,1.265,0.790,1.000
74,P106-Fg011.tif:4075-3430:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,7210,93.784,34,169,3395,4024,70,103,116.223,78.987,90,0.757,1.471,0.680,1.000
75,P106-Fg011.tif:4063-3561:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,2856,100.735,51,163,3540,4029,42,68,76.730,47.392,90,0.742,1.619,0.618,1.000
76,P106-Fg011.tif:3926-3647:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,83312,134.386,35,246,3483,3799,328,254,370.108,286.608,0,0.773,1.291,0.774,1.000
77,P106-Fg011.tif:2149-2752:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,159712,106.228,2,221,2591,1901,322,496,559.676,363.338,90,0.750,1.540,0.649,1.000
78,P106-Fg011.tif:2991-3331:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,37380,117.553,7,170,3242,2886,178,210,236.960,200.851,90,0.780,1.180,0.848,1.000
79,P106-Fg011.tif:3003-4132:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,497740,98.398,0,254,3829,2593,607,820,925.271,684.926,90,0.768,1.351,0.740,1.000
80,P106-Fg011.tif:3894-3598:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,424966,110.600,1,246,3352,3463,493,862,972.663,556.291,90,0.727,1.748,0.572,1.000
81,P106-Fg011.tif:3580-3471:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,677096,103.120,0,246,3097,3128,749,904,1020.055,845.156,90,0.778,1.207,0.829,1.000
82,P106-Fg011.tif:2818-3494:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,1204980,97.810,0,251,2829,2365,1330,906,1500.744,1022.312,0,0.757,1.468,0.681,1.000
83,P106-Fg011.tif:2025-2978:P106-Fg011-R-C01-R01-D23062013-T105152-LR445 _ColorCalData_I,569976,102.542,1,221,2604,1644,748,762,859.825,844.028,90,0.785,1.019,0.982,1.000
