 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,P106-Fg014.tif:2455-4022:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,24924,112.857,42,181,3955,2362,134,186,209.879,151.203,90,0.765,1.388,0.720,1.000
2,P106-Fg014.tif:2540-3854:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,21060,92.104,35,157,3787,2462,135,156,176.027,152.331,90,0.781,1.156,0.865,1.000
3,P106-Fg014.tif:2483-3726:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,32424,96.307,35,191,3642,2387,168,193,217.777,189.568,90,0.782,1.149,0.870,1.000
4,P106-Fg014.tif:2560-3605:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,11880,88.080,35,146,3560,2494,90,132,148.946,101.554,90,0.757,1.467,0.682,1.000
5,P106-Fg014.tif:2565-3551:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,7590,96.171,44,192,3518,2508,66,115,129.764,74.473,90,0.728,1.742,0.574,1.000
6,P106-Fg014.tif:2587-3500:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,6693,99.945,34,170,3466,2539,69,97,109.453,77.858,90,0.763,1.406,0.711,1.000
7,P106-Fg014.tif:2597-4092:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,10686,112.567,48,178,4053,2529,78,137,154.588,88.014,90,0.726,1.756,0.569,1.000
8,P106-Fg014.tif:2755-4161:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,4224,106.982,35,173,4128,2723,66,64,74.473,72.216,0,0.785,1.031,0.970,1.000
9,P106-Fg014.tif:2830-4128:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,598,116.968,65,153,4115,2819,26,23,29.338,25.953,0,0.782,1.130,0.885,1.000
10,P106-Fg014.tif:2751-4092:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,575,103.656,64,132,4080,2740,25,23,28.209,25.953,0,0.784,1.087,0.920,1.000
11,P106-Fg014.tif:2816-3966:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,19032,92.580,43,155,3905,2738,122,156,176.027,137.662,90,0.774,1.279,0.782,1.000
12,P106-Fg014.tif:2817-3871:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,21714,90.516,39,150,3801,2740,141,154,173.770,159.101,90,0.784,1.092,0.916,1.000
13,P106-Fg014.tif:2826-3773:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,17907,90.790,44,142,3710,2756,127,141,159.101,143.304,90,0.783,1.110,0.901,1.000
14,P106-Fg014.tif:2839-3663:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,20590,83.691,0,142,3592,2767,142,145,163.615,160.230,90,0.785,1.021,0.979,1.000
15,P106-Fg014.tif:2846-3586:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,12462,83.900,2,140,3540,2779,93,134,151.203,104.939,90,0.760,1.441,0.694,1.000
16,P106-Fg014.tif:2853-3526:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,11371,94.834,44,181,3485,2785,83,137,154.588,93.655,90,0.738,1.651,0.606,1.000
17,P106-Fg014.tif:2883-3502:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,999,105.863,55,160,3489,2865,27,37,41.750,30.466,90,0.766,1.370,0.730,1.000
18,P106-Fg014.tif:3130-3930:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,23088,97.088,42,166,3856,3052,148,156,176.027,167.000,90,0.785,1.054,0.949,1.000
19,P106-Fg014.tif:3137-3776:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,20711,86.399,43,145,3707,3063,139,149,168.128,156.845,90,0.784,1.072,0.933,1.000
20,P106-Fg014.tif:3136-3666:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,22244,85.589,1,138,3599,3053,134,166,187.311,151.203,90,0.776,1.239,0.807,1.000
21,P106-Fg014.tif:3145-3524:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,15318,90.873,32,193,3469,3076,111,138,155.716,125.250,90,0.776,1.243,0.804,1.000
22,P106-Fg014.tif:2925-4116:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,135791,107.434,1,188,3991,2655,251,541,610.453,283.223,90,0.680,2.155,0.464,1.000
23,P106-Fg014.tif:2865-3829:P106-Fg014-R-C01-R01-D23062013-T114829-LR445 _ColorCalData_I,775866,98.263,0,229,3452,2351,754,1029,1161.102,850.798,90,0.767,1.365,0.733,1.000
