frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44196.tif:1311-2634,3354000,202.582,9,255,1516,561,2236,1500,2523.056,1692.569,0,0.755,1.491,0.671,1.000
2,M44196.tif:1013-1101,251888,184.270,0,255,928,649,346,728,821.460,390.419,90,0.686,2.104,0.475,1.000
3,M44196.tif:1726-0902,354040,181.167,18,255,568,1461,668,530,753.757,598.041,0,0.775,1.260,0.793,1.000
4,M44196.tif:2477-1205,949776,185.211,0,255,784,1913,842,1128,1272.812,950.095,90,0.769,1.340,0.746,1.000
5,M44196.tif:2922-1564,265176,167.079,0,255,1310,2661,508,522,589.014,573.217,90,0.785,1.028,0.973,1.000
6,M44196.tif:2948-2262,279488,218.834,72,255,2086,2551,352,794,895.933,397.189,90,0.669,2.256,0.443,1.000
7,M44196.tif:2845-2706,402480,212.314,55,255,2472,2415,468,860,970.406,528.081,90,0.717,1.838,0.544,1.000
8,M44196.tif:2672-3529,823732,202.710,35,255,3126,2161,806,1022,1153.204,909.474,90,0.774,1.268,0.789,1.000
9,M44196.tif:4585-2409,7519686,208.438,0,255,950,3297,2918,2577,3292.610,2907.833,0,0.782,1.132,0.883,1.000
10,M44196.tif:5496-1742,452880,224.259,1,255,1372,5190,740,612,835.001,690.568,0,0.778,1.209,0.827,1.000
11,M44196.tif:4766-1273,19320,214.971,59,255,1204,4696,138,140,157.973,155.716,90,0.785,1.014,0.986,1.000
12,M44196.tif:4522-1132,7888,213.483,71,252,1074,4488,116,68,130.892,76.730,0,0.732,1.706,0.586,1.000
13,M44196.tif:5989-2755,150252,160.688,0,255,2096,5932,1318,114,1487.204,128.635,0,0.230,11.561,0.086,1.000
